"ID"	"Gender"	"Y4_Formative"	"Y4_Final"	"RP_Proposal"	"Events"	"Optional"
10986	1	76.1	83.92	2015-12-01	9	0
10412	1	77.71	93.66	2016-03-18	9	3
10429	2	77.29	85	2015-09-10	10	0
10418	2	79.18	85.17	2016-04-27	2	3
10425	2	74.43	83.25	2016-03-21	5	0
10884	2	77.24	87.82	2016-03-03	2	0
10006	2	73.98	82.67	2016-03-04	9	0
10080	2	69.41	79.58	2016-02-24	5	0
10286	2	78.5	82.56	2016-01-21	9	0
10759	2	79.31	96.71	2016-05-02	7	0
10438	2	80.82	82.13	2016-04-08	6	2
10136	1	78.38	81.03	2015-12-24	12	2
10852	2	76.85	83.58	2016-02-22	9	3
10434	1	77.4	80.61	2016-02-20	6	2
10263	1	76.5	82.35	2016-02-21	8	3
10868	2	79.62	92.43	2016-01-21	13	1
10179	2	79.65	84.18	2016-06-07	5	3
10356	2	75.75	81.9	2016-04-07	5	4
10054	2	83.48	87.66	2015-09-29	8	0
10761	1	82.6	81.89	2016-03-25	10	0
10607	3	77.93	79.19	2016-03-31	7	5
10360	2	89.75	90.98	2016-05-07	6	0
10928	2	76.5	77.84	2016-03-16	6	3
10710	2	79	86.85	2016-03-20	3	5
10260	1	78.35	83.89	2016-04-21	12	0
10834	2	76.22	85.45	2015-11-07	3	0
10662	2	74.4	80.6	2015-10-28	12	4
10253	2	77.77	84.16	2016-04-03	11	2
10897	2	79.95	83.57	2016-03-13	0	0
10272	1	81.34	94.06	2016-03-03	2	5
10528	2	80.78	87.89	2016-02-15	6	3
10931	1	77.43	80.65	2016-05-07	12	2
10939	2	84.39	88.82	2015-11-25	3	3
10380	2	77.55	79.26	2015-12-14	1	2
10146	1	79.45	87.88	2016-02-27	12	3
10119	2	81.93	93.43	2015-10-09	11	0
10086	1	81.49	88.35	2016-03-21	13	0
10718	2	76.78	88.98	2016-02-12	0	2
10684	2	78.02	79.97	2015-12-31	13	2
10084	2	74.47	78.59	2015-12-25	13	0
10456	2	78.07	81.78	2016-05-11	0	2
10159	1	75.28	80.75	2015-12-23	11	2
10516	2	76.06	81.06	2015-11-28	0	2
10131	2	79.35	86.93	2016-02-19	8	0
10900	2	76.05	78.49	2016-01-15	4	2
10137	2	74.17	85.84	2016-04-11	12	3
10760	2	78.11	79.27	2016-04-01	11	1
10001	1	87.5	90.28	2016-05-16	1	3
10672	2	78.51	84.71	2015-12-19	10	5
10694	2	78.78	89.92	2016-04-09	8	0
10262	2	73.02	80.26	2016-04-06	4	0
10381	2	72.89	81.87	2015-11-11	6	4
10027	2	76.22	82.65	2015-11-22	10	4
10554	2	79.42	83.53	2016-01-30	12	0
10546	2	77.8	83.04	2016-03-16	0	5
10598	2	69.24	73.16	2015-12-23	11	4
10264	1	79.01	90.04	2015-11-23	7	3
10038	1	71.71	79.65	2015-12-27	12	0
10057	1	75.95	84.69	2015-11-26	13	0
10916	2	79.73	93.45	2016-03-02	11	0
10643	2	78.53	82.95	2015-12-11	12	0
10637	1	85.14	81.69	2015-12-24	0	2
10947	1	75.1	75.66	2016-04-02	8	3
10314	1	78.04	81.53	2016-01-03	13	0
10417	2	81.15	80.35	2015-10-11	12	5
10652	2	79.62	88.54	2016-05-11	11	0
10927	2	76.54	85.7	2015-10-09	13	2
10065	2	76.63	89.85	2016-04-11	8	1
10025	2	76.85	86.76	2015-10-01	5	0
10379	1	80.63	86.84	2016-04-14	5	0
10886	2	83.78	95.35	2015-09-18	5	0
10790	1	84.21	83.45	2015-12-11	13	2
10913	1	78.28	85.72	2015-11-18	4	3
10768	2	76.45	78.96	2016-05-15	13	4
10394	2	79.31	89.65	2015-12-02	0	0
10216	2	76.9	83.16	2016-01-06	6	0
10015	2	76.2	91.61	2015-09-05	3	0
10568	1	78.93	84.62	2016-06-08	9	0
10562	1	79.96	85.36	2016-04-16	7	0
10145	2	76.55	83.63	2016-06-04	0	2
10244	2	74.01	83.99	2016-04-06	8	1
10715	2	77.83	77.85	2015-10-21	10	3
10650	2	76.57	82.31	2016-05-05	6	2
10317	1	74.33	78.2	2016-06-03	9	2
10515	2	77.62	82.69	2015-12-07	5	2
10524	1	77.72	83.64	2016-05-27	3	0
10220	2	78.63	88.1	NA	8	0
10240	2	77.41	74.58	2015-09-28	7	2
10442	2	76.95	84.99	2015-10-09	12	0
10395	2	75.55	87.46	2016-05-14	13	4
10692	2	77.22	89.34	2016-01-06	5	2
10521	2	80.05	91.78	2015-12-10	7	0
10943	2	80.83	85.52	2016-04-01	7	0
10921	2	77.94	80.98	2015-11-02	4	0
10532	1	74.39	86.88	2015-11-18	5	0
10892	2	86.72	98.77	2015-12-29	12	2
10617	2	80.94	80.85	2016-03-17	10	3
10988	2	79.16	88.47	2016-03-06	5	2
10902	2	84.58	88.27	2015-11-14	3	0
10053	2	78.73	80.14	2015-12-16	12	2
10140	2	77.01	84.65	2015-12-22	6	1
10347	1	75.45	87.25	2016-04-28	3	3
10031	2	81.93	87.86	2016-01-22	4	3
10616	1	71.47	79.29	2015-12-06	3	5
10047	2	77.96	89	2015-11-29	5	2
10479	2	81.68	85.15	2015-11-25	8	5
10732	2	82.28	89.93	2015-10-01	13	4
10039	2	79.39	83.97	2015-12-16	9	4
10538	2	77.91	91.64	2016-03-01	0	0
10729	1	71.26	74.04	2016-05-12	6	2
10640	2	79.77	84.48	2015-10-18	13	0
10295	1	73.02	82.74	2016-02-03	3	1
10132	2	82.03	90.77	2015-09-06	10	2
10610	1	80.31	82.93	2016-01-09	12	0
10777	2	78.23	82.62	2016-06-04	8	0
10343	2	74.5	87.36	2016-02-11	1	0
10870	2	76.45	91.27	2016-01-07	7	3
10153	2	73.01	78.65	2015-12-03	13	0
10228	1	84.88	90.32	2015-11-29	13	0
10122	2	78.31	83.1	2016-03-21	1	1
10155	1	81.49	79.37	2015-12-01	12	3
10309	1	71.32	82.63	2016-05-27	13	2
10689	2	77.82	81.3	2016-03-23	0	4
10706	2	71.39	80.5	2015-09-08	3	2
10281	1	80.92	90.61	2015-12-24	6	2
10957	2	77.1	88.01	2015-10-09	7	2
10324	1	75.68	88.76	2016-06-07	3	1
10210	1	77.99	87.64	2016-04-14	2	5
10919	1	79.68	80.29	2015-09-27	1	1
10439	2	74.83	82.13	2015-09-07	2	0
10831	2	81.77	87.41	2016-01-09	1	1
10115	1	77.06	87.48	2015-09-05	4	3
10828	2	77.14	80.04	2016-03-03	10	4
10388	2	83.06	83.23	2016-01-08	4	3
10683	2	74.73	83.44	2016-04-19	13	1
10225	2	79	85.99	2015-10-14	5	0
10929	2	80.86	84.73	2015-11-30	0	2
